Sr no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Manmad,Onion,Other,FAQ,651,2370,2060,7-Jun-24
2,Nashik,Manmad,Onion,Other,FAQ,560,2401,2000,6-Jun-24
3,Nashik,Manmad,Onion,Other,FAQ,716,2251,1850,5-Jun-24
4,Nashik,Manmad,Onion,Other,FAQ,600,2122,1750,4-Jun-24
5,Nashik,Manmad,Onion,Other,FAQ,500,2060,1740,3-Jun-24
6,Nashik,Manmad,Onion,Other,FAQ,451,1941,1500,1-Jun-24
7,Nashik,Manmad,Onion,Other,FAQ,400,2050,1800,31-May-24
8,Nashik,Manmad,Onion,Other,FAQ,400,2171,1950,30-May-24
9,Nashik,Manmad,Onion,Other,FAQ,300,2200,1850,29-May-24
10,Nashik,Manmad,Onion,Other,FAQ,500,2100,1800,28-May-24
11,Nashik,Manmad,Onion,Other,FAQ,290,2051,1700,27-May-24
12,Nashik,Manmad,Onion,Other,FAQ,360,1769,1500,25-May-24
13,Nashik,Manmad,Onion,Other,FAQ,264,1900,1650,24-May-24
14,Nashik,Manmad,Onion,Other,FAQ,500,1767,1400,23-May-24
15,Nashik,Manmad,Onion,Other,FAQ,500,1795,1430,22-May-24
16,Nashik,Manmad,Onion,Other,FAQ,500,1798,1500,21-May-24
17,Nashik,Manmad,Onion,Other,FAQ,300,1850,1580,18-May-24
18,Nashik,Manmad,Onion,Other,FAQ,300,1839,1530,17-May-24
19,Nashik,Manmad,Onion,Other,FAQ,200,1800,1550,16-May-24
20,Nashik,Manmad,Onion,Other,FAQ,390,1820,1580,15-May-24
21,Nashik,Manmad,Onion,Other,FAQ,301,1861,1570,14-May-24
22,Nashik,Manmad,Onion,Other,FAQ,300,1805,1500,13-May-24
23,Nashik,Manmad,Onion,Other,FAQ,405,1600,1460,11-May-24
24,Nashik,Manmad,Onion,Other,FAQ,300,1700,1450,9-May-24
25,Nashik,Manmad,Onion,Other,FAQ,202,1640,1400,8-May-24
26,Nashik,Manmad,Onion,Other,FAQ,400,1784,1500,7-May-24
27,Nashik,Manmad,Onion,Other,FAQ,480,1910,1550,6-May-24
28,Nashik,Manmad,Onion,Red,FAQ,250,1425,1251,28-Mar-24
29,Nashik,Manmad,Onion,Other,FAQ,540,1570,1476,28-Mar-24
30,Nashik,Manmad,Onion,Red,FAQ,700,1486,1350,27-Mar-24
31,Nashik,Manmad,Onion,Other,FAQ,485,1582,1450,27-Mar-24
32,Nashik,Manmad,Onion,Red,FAQ,558,1439,1200,26-Mar-24
33,Nashik,Manmad,Onion,Other,FAQ,604,1560,1350,26-Mar-24
34,Nashik,Manmad,Onion,Red,FAQ,722,1269,1000,23-Mar-24
35,Nashik,Manmad,Onion,Other,FAQ,1001,1362,1130,23-Mar-24
36,Nashik,Manmad,Onion,Red,FAQ,350,1285,1130,22-Mar-24
37,Nashik,Manmad,Onion,Other,FAQ,1040,1352,1257,22-Mar-24
38,Nashik,Manmad,Onion,Red,FAQ,422,1340,1250,21-Mar-24
39,Nashik,Manmad,Onion,Other,FAQ,887,1434,1300,21-Mar-24
40,Nashik,Manmad,Onion,Red,FAQ,310,1324,1210,20-Mar-24
41,Nashik,Manmad,Onion,Other,FAQ,601,1383,1250,20-Mar-24
42,Nashik,Manmad,Onion,Red,FAQ,300,1320,1100,19-Mar-24
43,Nashik,Manmad,Onion,Other,FAQ,420,1438,1300,19-Mar-24
44,Nashik,Manmad,Onion,Red,FAQ,270,1360,1100,18-Mar-24
45,Nashik,Manmad,Onion,Other,FAQ,420,1492,1300,18-Mar-24
46,Nashik,Manmad,Onion,Red,FAQ,305,1465,1300,16-Mar-24
47,Nashik,Manmad,Onion,Red,FAQ,407,1600,1450,15-Mar-24
48,Nashik,Manmad,Onion,Red,FAQ,500,1692,1500,14-Mar-24
49,Nashik,Manmad,Onion,Red,FAQ,400,1671,1500,13-Mar-24
50,Nashik,Manmad,Onion,Red,FAQ,400,1718,1550,12-Mar-24
51,Nashik,Manmad,Onion,Red,FAQ,300,1900,1600,11-Mar-24
52,Nashik,Manmad,Onion,Red,FAQ,300,2001,1750,9-Mar-24
53,Nashik,Manmad,Onion,Red,FAQ,400,1948,1700,8-Mar-24
54,Nashik,Manmad,Onion,Red,FAQ,400,2100,1950,7-Mar-24
55,Nashik,Manmad,Onion,Red,FAQ,500,2070,1750,6-Mar-24
56,Nashik,Manmad,Onion,Red,FAQ,500,1896,1700,5-Mar-24
57,Nashik,Manmad,Onion,Red,FAQ,400,1801,1575,4-Mar-24
58,Nashik,Manmad,Onion,Red,FAQ,400,1827,1600,2-Mar-24
59,Nashik,Manmad,Onion,Red,FAQ,300,1761,1550,1-Mar-24
60,Nashik,Manmad,Onion,Red,FAQ,400,1785,1550,29-Feb-24
61,Nashik,Manmad,Onion,Red,FAQ,400,1834,1650,28-Feb-24
62,Nashik,Manmad,Onion,Red,FAQ,400,1801,1550,27-Feb-24
63,Nashik,Manmad,Onion,Red,FAQ,500,1865,1625,24-Feb-24
64,Nashik,Manmad,Onion,Red,FAQ,500,1800,1550,23-Feb-24
65,Nashik,Manmad,Onion,Red,FAQ,300,1489,1200,22-Feb-24
66,Nashik,Manmad,Onion,Red,FAQ,300,1625,1300,21-Feb-24
67,Nashik,Manmad,Onion,Red,FAQ,300,1721,1500,20-Feb-24
68,Nashik,Manmad,Onion,Red,FAQ,300,1320,1200,16-Feb-24
69,Nashik,Manmad,Onion,Red,FAQ,400,1388,1250,15-Feb-24
70,Nashik,Manmad,Onion,Red,FAQ,300,1366,1266,14-Feb-24
71,Nashik,Manmad,Onion,Red,FAQ,300,1339,1100,13-Feb-24
72,Nashik,Manmad,Onion,Red,FAQ,300,1337,1100,12-Feb-24
73,Nashik,Manmad,Onion,Red,FAQ,300,1270,1050,11-Feb-24
74,Nashik,Manmad,Onion,Red,FAQ,200,1260,1000,10-Feb-24
75,Nashik,Manmad,Onion,Red,FAQ,200,1251,1000,9-Feb-24
76,Nashik,Manmad,Onion,Red,FAQ,200,1300,1000,8-Feb-24
77,Nashik,Manmad,Onion,Red,FAQ,200,1263,1000,7-Feb-24
78,Nashik,Manmad,Onion,Red,FAQ,200,1366,1050,6-Feb-24
79,Nashik,Manmad,Onion,Red,FAQ,300,1300,1100,5-Feb-24
80,Nashik,Manmad,Onion,Red,FAQ,200,1392,1150,3-Feb-24
81,Nashik,Manmad,Onion,Red,FAQ,205,1474,1180,2-Feb-24
82,Nashik,Manmad,Onion,Red,FAQ,305,1520,1300,1-Feb-24
83,Nashik,Manmad,Onion,Red,FAQ,300,1381,1150,31-Jan-24
84,Nashik,Manmad,Onion,Red,FAQ,250,1271,1050,30-Jan-24
85,Nashik,Manmad,Onion,Red,FAQ,200,1251,950,29-Jan-24
86,Nashik,Manmad,Onion,Red,FAQ,200,1220,800,27-Jan-24
87,Nashik,Manmad,Onion,Red,FAQ,200,1186,900,25-Jan-24
88,Nashik,Manmad,Onion,Red,FAQ,2168,2288,2251,24-Jan-24
89,Nashik,Manmad,Onion,Red,FAQ,200,1440,1200,23-Jan-24
90,Nashik,Manmad,Onion,Red,FAQ,300,1557,1375,20-Jan-24
91,Nashik,Manmad,Onion,Red,FAQ,200,1610,1400,19-Jan-24
92,Nashik,Manmad,Onion,Red,FAQ,300,1591,1320,18-Jan-24
93,Nashik,Manmad,Onion,Red,FAQ,200,1670,1450,17-Jan-24
94,Nashik,Manmad,Onion,Red,FAQ,300,1708,1600,15-Jan-24
95,Nashik,Manmad,Onion,Red,FAQ,300,1819,1650,13-Jan-24
96,Nashik,Manmad,Onion,Red,FAQ,400,1872,1650,12-Jan-24
97,Nashik,Manmad,Onion,Red,FAQ,200,1913,1700,11-Jan-24
98,Nashik,Manmad,Onion,Red,FAQ,410,2079,1800,10-Jan-24
99,Nashik,Manmad,Onion,Red,FAQ,200,2111,1850,9-Jan-24
100,Nashik,Manmad,Onion,Red,FAQ,300,2030,1800,8-Jan-24
101,Nashik,Manmad,Onion,Red,FAQ,800,2013,1800,6-Jan-24
102,Nashik,Manmad,Onion,Red,FAQ,500,1908,1600,5-Jan-24
103,Nashik,Manmad,Onion,Red,FAQ,200,1903,1700,4-Jan-24
104,Nashik,Manmad,Onion,Red,FAQ,400,2180,1800,3-Jan-24
105,Nashik,Manmad,Onion,Red,FAQ,500,2151,1950,2-Jan-24
106,Nashik,Manmad,Onion,Red,FAQ,500,2043,1900,1-Jan-24
107,Nashik,Manmad,Onion,Red,FAQ,700,1760,1550,30-Dec-23
108,Nashik,Manmad,Onion,Red,FAQ,500,1674,1450,29-Dec-23
109,Nashik,Manmad,Onion,Red,FAQ,300,1801,1550,28-Dec-23
110,Nashik,Manmad,Onion,White,FAQ,713,1598,1431,28-Dec-23
111,Nashik,Manmad,Onion,Red,FAQ,400,1675,1400,27-Dec-23
112,Nashik,Manmad,Onion,Red,FAQ,500,1711,1500,26-Dec-23
113,Nashik,Manmad,Onion,Red,FAQ,500,1774,1450,25-Dec-23
114,Nashik,Manmad,Onion,Red,FAQ,500,1848,1600,23-Dec-23
115,Nashik,Manmad,Onion,Red,FAQ,400,2051,1750,22-Dec-23
116,Nashik,Manmad,Onion,Other,FAQ,911,1495,1340,22-Dec-23
117,Nashik,Manmad,Onion,Red,FAQ,600,2021,1700,21-Dec-23
118,Nashik,Manmad,Onion,Other,FAQ,1001,2050,1493,21-Dec-23
119,Nashik,Manmad,Onion,Red,FAQ,500,2121,1900,20-Dec-23
120,Nashik,Manmad,Onion,Other,FAQ,1081,1760,1630,20-Dec-23
121,Nashik,Manmad,Onion,Red,FAQ,1000,2280,2000,19-Dec-23
122,Nashik,Manmad,Onion,Other,FAQ,700,1842,1500,19-Dec-23
123,Nashik,Manmad,Onion,Red,FAQ,500,2198,1950,18-Dec-23
124,Nashik,Manmad,Onion,Other,FAQ,1000,2228,1910,18-Dec-23
125,Nashik,Manmad,Onion,Red,FAQ,700,2024,1850,16-Dec-23
126,Nashik,Manmad,Onion,Other,FAQ,1000,2445,2100,16-Dec-23
127,Nashik,Manmad,Onion,Red,FAQ,200,2110,1800,15-Dec-23
128,Nashik,Manmad,Onion,Other,FAQ,600,2301,1800,15-Dec-23
129,Nashik,Manmad,Onion,Red,FAQ,500,2190,1900,14-Dec-23
130,Nashik,Manmad,Onion,Other,FAQ,520,2300,1612,14-Dec-23
131,Nashik,Manmad,Onion,Red,FAQ,300,2255,1850,13-Dec-23
132,Nashik,Manmad,Onion,Other,FAQ,600,2050,1750,13-Dec-23
133,Nashik,Manmad,Onion,Red,FAQ,200,2601,2200,12-Dec-23
134,Nashik,Manmad,Onion,Other,FAQ,1800,2671,2300,12-Dec-23
135,Nashik,Manmad,Onion,Red,FAQ,811,2633,2250,11-Dec-23
136,Nashik,Manmad,Onion,Other,FAQ,1453,2700,2580,11-Dec-23
137,Nashik,Manmad,Onion,Other,FAQ,1000,3050,2600,8-Dec-23
138,Nashik,Manmad,Onion,Red,FAQ,1000,3980,3400,7-Dec-23
139,Nashik,Manmad,Onion,Other,FAQ,1800,3799,3400,7-Dec-23
140,Nashik,Manmad,Onion,Red,FAQ,1000,4051,3600,6-Dec-23
141,Nashik,Manmad,Onion,Other,FAQ,1500,3860,3500,6-Dec-23
142,Nashik,Manmad,Onion,Red,FAQ,1900,4250,3600,5-Dec-23
143,Nashik,Manmad,Onion,Other,FAQ,2000,3788,3400,5-Dec-23
144,Nashik,Manmad,Onion,Red,FAQ,1500,4109,3500,4-Dec-23
145,Nashik,Manmad,Onion,Other,FAQ,1700,3799,3500,4-Dec-23
